Date of Issue,Agent/Syndrome,Country,Risk:Human,Risk:Animal,Suspected,Suspected_New,Probable,Probable_New,Confirmed,Confirmed_New,Deaths,Deaths_New
17.03.2024,Mpox virus,Cameroon,Moderate,N/A,12,3,0,0,2,0,1,0
17.03.2024,Mpox virus,Democratic Republic of the Congo,High,Moderate,4169,593,0,0,319,0,279,15
06.04.2024,Mpox virus,Congo Republic,Moderate,N/A,45,21,0,0,19,0,0,0
06.04.2024,Mpox virus,Democratic Republic of the Congo,High,Moderate,4219,273,0,0,319,0,296,12
05.05.2024,Mpox virus,Democratic Republic of the Congo,High,N/A,5445,480,0,0,319,0,333,11
05.05.2024,Mpox virus,Liberia,Moderate,N/A,0,0,0,0,4,2,0,0
18.05.2024,Mpox virus,Congo Republic,Moderate,N/A,68,9,0,0,19,0,0,0
18.05.2024,Mpox virus,Democratic Republic of the Congo,High,N/A,6368,468,0,0,319,0,349,14
18.05.2024,Mpox virus,South Africa,High,N/A,0,0,0,0,1,0,0,0
01.06.2024,Mpox virus,Congo Republic,Moderate,N/A,90,22,0,0,19,0,0,0
01.06.2024,Mpox virus,South Africa,High,N/A,0,0,0,0,2,1,0,0
22.06.2024,Mpox virus,Congo Republic,Moderate,N/A,114,24,0,0,19,0,1,1
22.06.2024,Mpox virus,Democratic Republic of the Congo,High,N/A,7599,597,0,0,1135,0,408,11
22.06.2024,Mpox virus,South Africa,High,N/A,0,0,0,0,1,2,2,1
28.07.2024,Mpox virus,Burundi,High,N/A,0,0,0,0,3,0,0,0
28.07.2024,Mpox virus,Cameroon,Moderate,N/A,30,4,0,0,5,0,1,0
28.07.2024,Mpox virus,Central African Republic,High,N/A,185,19,0,0,28,7,0,0
28.07.2024,Mpox virus,Democratic Republic of the Congo,High,N/A,11163,2130,0,0,2628,583,450,7
28.07.2024,Mpox virus,Rwanda,High,N/A,0,0,0,0,2,0,0,0
03.08.2024,Mpox virus,Côte d'Ivoire,Moderate,N/A,0,0,0,0,2,0,0,0
03.08.2024,Mpox virus,Kenya,High,N/A,0,0,0,0,1,0,0,0
03.08.2024,Mpox virus,Uganda,High,N/A,0,0,0,0,2,0,0,0
