ISO-alpha3 Code,UN_country,UN_region,UN_subregion,WHO_country,WHO_region,Income group,latitude,longitude
AFG,Afghanistan,Asia,Southern Asia,Afghanistan,Eastern Mediterranean,Low income,33,65
ALA,Åland Islands,Europe,Northern Europe,,,,,
ALB,Albania,Europe,Southern Europe,Albania,Europe,Upper middle income,41,20
DZA,Algeria,Africa,Northern Africa,Algeria,Africa,Lower middle income,28,3
ASM,American Samoa,Oceania,Polynesia,American Samoa,Western Pacific,High income,,
AND,Andorra,Europe,Southern Europe,Andorra,Europe,High income,42.5,1.6
AGO,Angola,Africa,Sub-Saharan Africa,Angola,Africa,Lower middle income,-12.5,18.5
AIA,Anguilla,Americas,Latin America and the Caribbean,Anguilla,Americas,,,
ATA,Antarctica,,,,,,,
ATG,Antigua and Barbuda,Americas,Latin America and the Caribbean,Antigua and Barbuda,Americas,High income,17.05,-61.8
ARG,Argentina,Americas,Latin America and the Caribbean,Argentina,Americas,Upper middle income,-34,-64
ARM,Armenia,Asia,Western Asia,Armenia,Europe,Upper middle income,40,45
ABW,Aruba,Americas,Latin America and the Caribbean,Aruba,Americas,High income,,
AUS,Australia,Oceania,Australia and New Zealand,Australia,Western Pacific,High income,-27,133
AUT,Austria,Europe,Western Europe,Austria,Europe,High income,47.3333,13.3333
AZE,Azerbaijan,Asia,Western Asia,Azerbaijan,Europe,Upper middle income,40.5,47.5
BHS,Bahamas,Americas,Latin America and the Caribbean,Bahamas,Americas,High income,24.25,-76
BHR,Bahrain,Asia,Western Asia,Bahrain,Eastern Mediterranean,High income,26,50.55
BGD,Bangladesh,Asia,Southern Asia,Bangladesh,South-East Asia,Lower middle income,24,90
BRB,Barbados,Americas,Latin America and the Caribbean,Barbados,Americas,High income,13.1667,-59.5333
BLR,Belarus,Europe,Eastern Europe,Belarus,Europe,Upper middle income,53,28
BEL,Belgium,Europe,Western Europe,Belgium,Europe,High income,50.8333,4
BLZ,Belize,Americas,Latin America and the Caribbean,Belize,Americas,Upper middle income,17.25,-88.75
BEN,Benin,Africa,Sub-Saharan Africa,Benin,Africa,Lower middle income,9.5,2.25
BMU,Bermuda,Americas,Northern America,Bermuda,Americas,High income,32.3333,-64.75
BTN,Bhutan,Asia,Southern Asia,Bhutan,South-East Asia,Lower middle income,27.5,90.5
BOL,Bolivia (Plurinational State of),Americas,Latin America and the Caribbean,Bolivia (Plurinational State of),Americas,Lower middle income,-17,-65
