country,iso3,week_end_date,total_confirmed_cases,total_suspected_cases,total_deaths,total_suspected_deaths,new_confirmed_cases,new_suspected_cases,new_deaths,new_suspected_deaths
Nigeria,NGA,22/09/2024,939,1183,9,0,5,75,0,0
Rwanda,RWA,22/09/2024,6,6,0,0,0,0,0,0
Congo,COG,22/09/2024,47,184,2,0,0,0,0,0
Benin,BEN,29/09/2024,3,NA,0,NA,0,0,0,0
Central African Republic,CAF,29/09/2024,104,347,2,1,2,12,0,0
Burundi,BDI,29/09/2024,853,2188,0,0,157,309,0,0
Côte d’Ivoire,CIV,29/09/2024,67,331,1,0,5,3,0,0
Congo,COG,29/09/2024,47,184,2,0,0,0,0,0
Cameroon,CMR,29/09/2024,51,89,5,2,0,8,0,0
Democratic Republic of the Congo,COD,29/09/2024,7095,30766,27,990,212,1856,0,52
Cameroon,CMR,22/09/2024,51,81,5,2,0,21,0,0
Central African Republic,CAF,22/09/2024,102,335,2,1,3,27,0,0
Democratic Republic of the Congo,COD,22/09/2024,6883,28910,27,938,209,2130,0,56
Burundi,BDI,22/09/2024,696,1879,0,0,132,322,0,0
Côte d’Ivoire,CIV,22/09/2024,62,328,1,0,10,43,0,0
Congo,COG,15/09/2024,47,184,2,0,0,0,0,0
Ghana,GHA,22/09/2024,128,NA,4,NA,0,0,0,0
Gabon,GAB,22/09/2024,2,15,0,0,0,0,0,0
Guinea,GIN,22/09/2024,1,8,0,0,0,0,0,0
Liberia,LBR,22/09/2024,29,147,0,0,0,0,0,0
South Africa,ZAF,22/09/2024,30,25,3,3,0,0,0,0
Uganda,UGA,22/09/2024,35,120,0,0,6,0,0,0
Benin,BEN,22/09/2024,3,NA,0,NA,0,0,0,0
Kenya,KEN,22/09/2024,5,115,0,0,0,0,0,0
Mozambique,MOZ,22/09/2024,1,NA,1,NA,0,0,0,0
Gabon,GAB,29/09/2024,2,15,0,0,0,0,0,0
Guinea,GIN,29/09/2024,1,8,0,0,0,0,0,0
Ghana,GHA,29/09/2024,128,NA,4,NA,0,0,0,0
Mozambique,MOZ,29/09/2024,1,NA,1,NA,0,0,0,0
Nigeria,NGA,29/09/2024,945,1237,9,0,6,54,0,0
Rwanda,RWA,29/09/2024,6,6,0,0,0,0,0,0
Kenya,KEN,29/09/2024,8,208,0,0,3,93,0,0
