country,iso3,who_region,date,total_confirmed_cases,total_probable_cases,new_confirmed_cases,new_probable_cases,new_susp,new_suspdeath,total_susp,total_suspdeath,clade1,clade2,clade1a,clade1b,clade_status,disp_status,total_deaths,new_deaths
Angola,AGO,African Region,10/11/2024,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Angola,AGO,African Region,17/11/2024,1,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Angola,AGO,African Region,20/11/2024,2,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Angola,AGO,African Region,01/12/2024,3,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Angola,AGO,African Region,08/12/2024,4,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Angola,AGO,African Region,15/12/2024,4,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Angola,AGO,African Region,22/12/2024,4,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Angola,AGO,African Region,29/12/2024,4,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Benin,BEN,African Region,09/01/2022,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Benin,BEN,African Region,16/01/2022,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Benin,BEN,African Region,23/01/2022,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Benin,BEN,African Region,30/01/2022,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Benin,BEN,African Region,06/02/2022,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Benin,BEN,African Region,13/02/2022,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Benin,BEN,African Region,20/02/2022,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Benin,BEN,African Region,27/02/2022,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Benin,BEN,African Region,06/03/2022,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Benin,BEN,African Region,13/03/2022,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Benin,BEN,African Region,20/03/2022,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Benin,BEN,African Region,27/03/2022,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Benin,BEN,African Region,03/04/2022,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Benin,BEN,African Region,10/04/2022,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Benin,BEN,African Region,17/04/2022,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Benin,BEN,African Region,24/04/2022,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Benin,BEN,African Region,01/05/2022,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Benin,BEN,African Region,08/05/2022,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Benin,BEN,African Region,15/05/2022,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Benin,BEN,African Region,22/05/2022,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Benin,BEN,African Region,29/05/2022,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Benin,BEN,African Region,05/06/2022,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Benin,BEN,African Region,12/06/2022,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Benin,BEN,African Region,19/06/2022,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Benin,BEN,African Region,26/06/2022,3,0,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Benin,BEN,African Region,03/07/2022,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Benin,BEN,African Region,10/07/2022,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Benin,BEN,African Region,17/07/2022,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Benin,BEN,African Region,24/07/2022,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Benin,BEN,African Region,31/07/2022,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Benin,BEN,African Region,07/08/2022,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Benin,BEN,African Region,14/08/2022,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Benin,BEN,African Region,21/08/2022,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Benin,BEN,African Region,28/08/2022,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Benin,BEN,African Region,04/09/2022,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Benin,BEN,African Region,11/09/2022,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Benin,BEN,African Region,18/09/2022,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Benin,BEN,African Region,25/09/2022,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Benin,BEN,African Region,02/10/2022,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Benin,BEN,African Region,09/10/2022,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Benin,BEN,African Region,16/10/2022,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Benin,BEN,African Region,23/10/2022,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Benin,BEN,African Region,30/10/2022,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Benin,BEN,African Region,06/11/2022,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Benin,BEN,African Region,13/11/2022,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Benin,BEN,African Region,20/11/2022,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Benin,BEN,African Region,27/11/2022,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Benin,BEN,African Region,04/12/2022,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Benin,BEN,African Region,11/12/2022,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Benin,BEN,African Region,18/12/2022,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Benin,BEN,African Region,25/12/2022,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Benin,BEN,African Region,01/01/2023,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Benin,BEN,African Region,08/01/2023,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Benin,BEN,African Region,15/01/2023,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Benin,BEN,African Region,22/01/2023,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Benin,BEN,African Region,29/01/2023,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Benin,BEN,African Region,05/02/2023,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Benin,BEN,African Region,12/02/2023,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Benin,BEN,African Region,19/02/2023,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Benin,BEN,African Region,26/02/2023,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Benin,BEN,African Region,05/03/2023,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Benin,BEN,African Region,12/03/2023,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Benin,BEN,African Region,19/03/2023,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Benin,BEN,African Region,26/03/2023,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Benin,BEN,African Region,02/04/2023,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Benin,BEN,African Region,09/04/2023,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Benin,BEN,African Region,16/04/2023,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Benin,BEN,African Region,23/04/2023,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Benin,BEN,African Region,30/04/2023,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Benin,BEN,African Region,07/05/2023,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Benin,BEN,African Region,14/05/2023,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Benin,BEN,African Region,21/05/2023,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Benin,BEN,African Region,28/05/2023,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Benin,BEN,African Region,04/06/2023,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Benin,BEN,African Region,11/06/2023,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Benin,BEN,African Region,18/06/2023,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Benin,BEN,African Region,25/06/2023,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Benin,BEN,African Region,02/07/2023,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Benin,BEN,African Region,09/07/2023,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Benin,BEN,African Region,16/07/2023,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Benin,BEN,African Region,23/07/2023,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Benin,BEN,African Region,30/07/2023,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Benin,BEN,African Region,06/08/2023,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Benin,BEN,African Region,13/08/2023,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Benin,BEN,African Region,20/08/2023,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Benin,BEN,African Region,27/08/2023,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Benin,BEN,African Region,03/09/2023,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Benin,BEN,African Region,10/09/2023,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Benin,BEN,African Region,17/09/2023,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Benin,BEN,African Region,24/09/2023,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Benin,BEN,African Region,01/10/2023,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Benin,BEN,African Region,08/10/2023,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Benin,BEN,African Region,15/10/2023,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Benin,BEN,African Region,22/10/2023,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Benin,BEN,African Region,29/10/2023,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Benin,BEN,African Region,05/11/2023,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Benin,BEN,African Region,12/11/2023,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Benin,BEN,African Region,19/11/2023,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Benin,BEN,African Region,26/11/2023,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Benin,BEN,African Region,03/12/2023,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Benin,BEN,African Region,10/12/2023,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Benin,BEN,African Region,17/12/2023,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Benin,BEN,African Region,24/12/2023,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Benin,BEN,African Region,31/12/2023,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Benin,BEN,African Region,07/01/2024,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Benin,BEN,African Region,14/01/2024,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Benin,BEN,African Region,21/01/2024,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Benin,BEN,African Region,28/01/2024,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Benin,BEN,African Region,04/02/2024,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
