"location","date","iso_code_owd","cum_confirmed_cases_orig_owd","new_confirmed_cases_orig_owd","cum_suspected_cases_orig_owd","new_suspected_cases_calc_owd","cum_confirmed_cases_cum_owd","new_confirmed_cases_calc_owd","cum_confirmed_cases_calc_owd","cum_suspected_cases_calc_owd","cum_confirmed_cases_new_owd","all_new_confirmed_cases_owd","all_cum_confirmed_cases_owd","all_new_suspected_cases_owd","all_cum_suspected_cases_owd","cum_comparison_owd"
"Africa","2024-01-01","OWID_AFR",2404,0,NA,0,0,0,0,0,0,0,0,0,0,"OK"
"Africa","2024-01-02","OWID_AFR",2404,0,NA,0,0,0,0,0,0,0,0,0,0,"OK"
"Africa","2024-01-03","OWID_AFR",2404,0,NA,0,0,0,0,0,0,0,0,0,0,"OK"
"Africa","2024-01-04","OWID_AFR",2404,0,NA,0,0,0,0,0,0,0,0,0,0,"OK"
"Africa","2024-01-05","OWID_AFR",2404,0,NA,0,0,0,0,0,0,0,0,0,0,"OK"
"Africa","2024-01-06","OWID_AFR",2404,0,NA,0,0,0,0,0,0,0,0,0,0,"OK"
"Africa","2024-01-07","OWID_AFR",2427,23,NA,0,23,23,23,0,23,23,23,0,0,"OK"
"Africa","2024-01-08","OWID_AFR",2427,0,NA,0,23,0,23,0,23,6,29,0,0,"OK"
"Africa","2024-01-09","OWID_AFR",2427,0,NA,0,23,0,23,0,23,7,36,0,0,"OK"
"Africa","2024-01-10","OWID_AFR",2427,0,NA,0,23,0,23,0,23,6,42,0,0,"OK"
"Africa","2024-01-11","OWID_AFR",2427,0,NA,0,23,0,23,0,23,6,48,0,0,"OK"
"Africa","2024-01-12","OWID_AFR",2427,0,NA,0,23,0,23,0,23,6,54,0,0,"OK"
"Africa","2024-01-13","OWID_AFR",2427,0,NA,0,23,0,23,0,23,7,61,0,0,"OK"
"Africa","2024-01-14","OWID_AFR",2471,44,NA,0,67,44,67,0,67,6,67,0,0,"OK"
"Africa","2024-01-15","OWID_AFR",2471,0,NA,0,67,0,67,0,67,8,75,0,0,"OK"
"Africa","2024-01-16","OWID_AFR",2471,0,NA,0,67,0,67,0,67,8,83,0,0,"OK"
"Africa","2024-01-17","OWID_AFR",2471,0,NA,0,67,0,67,0,67,8,91,0,0,"OK"
"Africa","2024-01-18","OWID_AFR",2471,0,NA,0,67,0,67,0,67,7,98,0,0,"OK"
