"location","date","cum_confirmed_cases_orig_who","cum_suspected_cases_orig_who","new_confirmed_cases_orig_who","new_suspected_cases_orig_who","new_confirmed_cases_calc_who","cum_confirmed_cases_calc_who","new_suspected_cases_calc_who","cum_suspected_cases_calc_who","cum_confirmed_cases_barplot_who","all_new_confirmed_cases_who","all_cum_confirmed_cases_who","all_new_suspected_cases_who","all_cum_suspected_cases_who"
"Andorra","2024-01-01",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
"Andorra","2024-01-02",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
"Andorra","2024-01-03",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
"Andorra","2024-01-04",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
"Andorra","2024-01-05",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
"Andorra","2024-01-06",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
"Andorra","2024-01-07",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
"Andorra","2024-01-08",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
"Andorra","2024-01-09",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
"Andorra","2024-01-10",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
"Andorra","2024-01-11",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
"Andorra","2024-01-12",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
"Andorra","2024-01-13",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
"Andorra","2024-01-14",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
"Andorra","2024-01-15",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
"Andorra","2024-01-16",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
"Andorra","2024-01-17",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
"Andorra","2024-01-18",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
"Andorra","2024-01-19",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
"Andorra","2024-01-20",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
"Andorra","2024-01-21",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
"Andorra","2024-01-22",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
"Andorra","2024-01-23",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
"Andorra","2024-01-24",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
"Andorra","2024-01-25",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
"Andorra","2024-01-26",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
"Andorra","2024-01-27",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
"Andorra","2024-01-28",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
"Andorra","2024-01-29",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
"Andorra","2024-01-30",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
"Andorra","2024-01-31",4,0,0,0,0,0,0,0,0,0,0,0,0
"Andorra","2024-02-01",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
"Andorra","2024-02-02",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
"Andorra","2024-02-03",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
"Andorra","2024-02-04",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
"Andorra","2024-02-05",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
"Andorra","2024-02-06",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
"Andorra","2024-02-07",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
"Andorra","2024-02-08",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
"Andorra","2024-02-09",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
"Andorra","2024-02-10",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
"Andorra","2024-02-11",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
